accr_x,accr_y,accr_z,gyr_x,gyr_y,gyr_z,timestamp,time
0.3968447,8.71,-4.476044,0.001111111,-0.008888889,0.00413665,0,0.02
0.4137955,8.706898,-4.456205,0.0,-0.00283768,0.00716232,0,0.02
0.4239138,8.707828,-4.502172,0.002036766,0.001111111,0.007777778,0,0.02
0.4429805,8.718078,-4.50298,0.0004030137,0.004647834,0.008384181,0,0.02
0.4852341,8.725234,-4.52,-2.019376e-05,0.006666667,0.007777778,0,0.02
0.5,8.705882,-4.470592,0.000224935,0.006636471,0.006126209,0,0.02
0.4852341,8.725234,-4.52,-2.019376e-05,0.006666667,0.007777778,1,0.12
0.5,8.705882,-4.470592,0.000224935,0.006636471,0.006126209,1,0.12
0.4872281,8.71,-4.487228,-3.895536e-05,0.006666667,0.006705622,1,0.12
0.4700729,8.696715,-4.426642,0.0004703647,0.004130868,0.003333333,1,0.12
0.4605359,8.709464,-4.48,0.001814797,0.004524671,0.00298149,1,0.12
0.45,8.724153,-4.494153,0.0002424968,0.005696679,0.003090837,1,0.12
0.4605359,8.709464,-4.48,0.001814797,0.004524671,0.00298149,2,0.22
0.45,8.724153,-4.494153,0.0002424968,0.005696679,0.003090837,2,0.22
0.421136,8.708352,-4.5,0.0005425008,0.006071947,0.002222222,2,0.22
0.4603825,8.696539,-4.463843,0.0004530798,0.005307427,0.003991365,2,0.22
0.463828,8.708437,-4.47,-0.0004664563,0.005089099,0.002866877,2,0.22
0.4658749,8.71,-4.45,-0.0002741245,0.002222222,0.004444444,2,0.22
0.463828,8.708437,-4.47,-0.0004664563,0.005089099,0.002866877,3,0.32
0.4658749,8.71,-4.45,-0.0002741245,0.002222222,0.004444444,3,0.32
0.4426758,8.712676,-4.477324,0.000100398,-0.0004300581,0.003333333,3,0.32
0.46,8.73,-4.493015,-0.0006641967,-0.0004469145,0.002222222,3,0.32
0.4545128,8.715487,-4.489026,0.002386722,0.004444444,0.002695528,3,0.32
0.4619457,8.71,-4.464027,0.002486458,-0.0008468758,0.002222222,3,0.32
0.4545128,8.715487,-4.489026,0.002386722,0.004444444,0.002695528,4,0.42
0.4619457,8.71,-4.464027,0.002486458,-0.0008468758,0.002222222,4,0.42
0.4774355,8.71,-4.482565,-0.001101311,0.002236923,0.002212422,4,0.42
0.4669219,8.720766,-4.453844,-0.002085902,0.001871146,0.001871146,4,0.42
0.4652406,8.730481,-4.5,0.002994818,0.003478027,0.0004832087,4,0.42
0.4504226,8.724789,-4.498732,-0.002974519,-0.000437511,0.001784711,4,0.42
0.4652406,8.730481,-4.5,0.002994818,0.003478027,0.0004832087,5,0.52
0.4504226,8.724789,-4.498732,-0.002974519,-0.000437511,0.001784711,5,0.52
0.4540437,8.715956,-4.478087,-0.0002893383,-0.001521997,-0.0007002247,5,0.52
0.4421594,8.70392,-4.46392,-0.000487757,-0.000311677,0.000487757,5,0.52
0.4765687,8.71,-4.486716,0.0001694034,-0.003418035,0.0005979064,5,0.52
0.4725343,8.716267,-4.456267,-0.001550303,-0.003333333,0.0006719189,5,0.52
0.4765687,8.71,-4.486716,0.0001694034,-0.003418035,0.0005979064,6,0.62
0.4725343,8.716267,-4.456267,-0.001550303,-0.003333333,0.0006719189,6,0.62
0.46,8.729209,-4.49,0.003013833,-0.0001065002,-0.001719917,6,0.62
0.4336646,8.7,-4.49,0.0,-0.00190408,0.001267794,6,0.62
0.43,8.682292,-4.510833,-0.0006237605,-0.0004873507,0.0009747013,6,0.62
0.4630664,8.716934,-4.463066,0.003108905,-0.0008462097,0.001467991,6,0.62
0.43,8.682292,-4.510833,-0.0006237605,-0.0004873507,0.0009747013,7,0.72
0.4630664,8.716934,-4.463066,0.003108905,-0.0008462097,0.001467991,7,0.72
0.4922386,8.727761,-4.487761,0.0005232429,0.001813634,0.0015197,7,0.72
0.4766879,8.71,-4.443312,0.0006289483,-0.00150943,-0.002222222,7,0.72
0.4618295,8.73183,-4.47817,-0.0005161482,-0.00129037,-0.001369185,7,0.72
0.4364778,8.729433,-4.453522,0.00137883,-0.003601052,0.001941091,7,0.72
0.4618295,8.73183,-4.47817,-0.0005161482,-0.00129037,-0.001369185,8,0.82
0.4364778,8.729433,-4.453522,0.00137883,-0.003601052,0.001941091,8,0.82
0.4355549,8.734445,-4.46,-0.000167379,0.0004109686,-0.0002891738,8,0.82
0.4458596,8.72414,-4.47414,0.002808272,0.002808272,0.0005860496,8,0.82
0.4639599,8.70396,-4.480201,-0.0004134885,-0.0009817567,0.000826977,8,0.82
0.4639763,8.703976,-4.462047,-4.11075e-05,0.0007270382,0.00226333,8,0.82
0.4639599,8.70396,-4.480201,-0.0004134885,-0.0009817567,0.000826977,9,0.92
0.4639763,8.703976,-4.462047,-4.11075e-05,0.0007270382,0.00226333,9,0.92
0.4684815,8.72,-4.455759,-0.002157154,0.001503171,0.002549214,9,0.92
0.4593105,8.72,-4.453563,0.0006493497,-0.00261544,0.0003932181,9,0.92
0.45,8.717614,-4.491421,0.0,-0.0008423126,0.001648708,9,0.92
0.4762822,8.696282,-4.463718,0.0,0.0008713126,0.001982424,9,0.92
0.45,8.717614,-4.491421,0.0,-0.0008423126,0.001648708,10,1.02
0.4762822,8.696282,-4.463718,0.0,0.0008713126,0.001982424,10,1.02
0.4753403,8.70534,-4.47534,-0.001020348,-0.001111111,-9.076346e-05,10,1.02
0.4914708,8.71,-4.481471,0.001490857,0.0003727143,-0.001118143,10,1.02
0.4608682,8.719132,-4.495434,0.001935962,-0.003619594,-0.001498303,10,1.02
0.4733387,8.723307,-4.446661,-0.003714552,-0.003365879,-0.003333333,10,1.02
0.4608682,8.719132,-4.495434,0.001935962,-0.003619594,-0.001498303,11,1.12
0.4733387,8.723307,-4.446661,-0.003714552,-0.003365879,-0.003333333,11,1.12
0.4432589,8.706518,-4.496741,-0.004701339,-0.003247702,-0.002222222,11,1.12
0.42,8.703654,-4.467309,-0.001486051,-0.001097404,-0.00186099,11,1.12
0.42,8.7,-4.473526,0.0003389857,-0.001497174,-0.0007250484,11,1.12
0.4238684,8.707737,-4.423868,2.402665e-05,0.001111111,0.003309307,11,1.12
0.42,8.7,-4.473526,0.0003389857,-0.001497174,-0.0007250484,12,1.22
0.4238684,8.707737,-4.423868,2.402665e-05,0.001111111,0.003309307,12,1.22
0.4688064,8.712538,-4.463731,-0.001111111,0.003562251,0.003627398,12,1.22
0.4966767,8.703323,-4.44997,-0.0008536247,-0.002303388,0.001964736,12,1.22
0.5046885,8.711246,-4.485311,0.001319301,0.002430412,0.0006596505,12,1.22
0.4938575,8.693858,-4.491573,0.001841047,3.241372e-05,0.0,12,1.22
0.5046885,8.711246,-4.485311,0.001319301,0.002430412,0.0006596505,13,1.32
0.4938575,8.693858,-4.491573,0.001841047,3.241372e-05,0.0,13,1.32
0.5166057,8.7,-4.485535,0.001111111,-0.003333333,-0.001486114,13,1.32
0.495876,8.7,-4.504124,-0.002209923,-0.004053575,-0.004078174,13,1.32
0.47,8.696765,-4.443677,0.0,-0.001494339,-0.00446373,13,1.32
0.4353684,8.705368,-4.445368,-0.002513903,-0.003451368,-0.004152764,13,1.32
0.47,8.696765,-4.443677,0.0,-0.001494339,-0.00446373,14,1.42
0.4353684,8.705368,-4.445368,-0.002513903,-0.003451368,-0.004152764,14,1.42
0.43,8.716095,-4.447809,-0.001637163,-0.002924042,-0.004444444,14,1.42
0.45,8.715973,-4.468053,-0.001864592,-0.001072891,-0.0007152609,14,1.42
0.46,8.713714,-4.48,0.00351373,-0.0006806086,-0.001881918,14,1.42
0.45,8.71538,-4.48,0.0003976618,0.003017546,0.0003976618,14,1.42
0.46,8.713714,-4.48,0.00351373,-0.0006806086,-0.001881918,15,1.52
0.45,8.71538,-4.48,0.0003976618,0.003017546,0.0003976618,15,1.52
0.4613296,8.707553,-4.48,-0.003480803,-0.002369692,0.002088482,15,1.52
0.4740658,8.721868,-4.48,-0.002222222,0.005586246,0.0003601402,15,1.52
0.4634476,8.72,-4.493448,-0.004221853,0.0004442598,0.002999908,15,1.52
0.4747394,8.714739,-4.474218,-0.001207819,0.0007085047,0.001722908,15,1.52
0.4634476,8.72,-4.493448,-0.004221853,0.0004442598,0.002999908,16,1.62
0.4747394,8.714739,-4.474218,-0.001207819,0.0007085047,0.001722908,16,1.62
0.4840803,8.69,-4.501839,-0.004152616,0.0,0.0008192831,16,1.62
0.49,8.715793,-4.473172,-0.001086225,0.0007739226,-0.0003620749,16,1.62
0.5028495,8.715717,-4.458566,-0.001686778,0.001151334,-0.000535444,16,1.62
0.4770092,8.696206,-4.49,-9.938424e-05,-0.001918108,-0.002526336,16,1.62
0.5028495,8.715717,-4.458566,-0.001686778,0.001151334,-0.000535444,17,1.72
0.4770092,8.696206,-4.49,-9.938424e-05,-0.001918108,-0.002526336,17,1.72
0.45,8.704109,-4.492327,-0.0008305714,-0.00457919,-0.002222222,17,1.72
